symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
PENG,__chosen__,PENG US Equity,Information Technology,GICS_SECTOR_NAME,,True
PFBC,PFBC US Equity,PREFERRED BANK/LOS ANGELES,Financials,Financial,BBG000BRF6K5,True
PFBC,__chosen__,PFBC US Equity,Financials,GICS_SECTOR_NAME,,True
PGNY,PGNY US Equity,PROGYNY INC,Health Care,"Consumer, Non-cyclical",BBG002H1K1H1,True
PGNY,__chosen__,PGNY US Equity,Health Care,GICS_SECTOR_NAME,,True
PLAY,PLAY US Equity,DAVE & BUSTER'S ENTERTAINMEN,Consumer Discretionary,"Consumer, Cyclical",BBG001WWJTK5,True
PLAY,__chosen__,PLAY US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
PLNT,PLNT US Equity,PLANET FITNESS INC - CL A,Consumer Discretionary,"Consumer, Cyclical",BBG009H04M17,True
PLNT,__chosen__,PLNT US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
POR,POR US Equity,PORTLAND GENERAL ELECTRIC CO,Utilities,Utilities,BBG000BCRMW7,True
POR,__chosen__,POR US Equity,Utilities,GICS_SECTOR_NAME,,True
PRDO,PRDO US Equity,PERDOCEO EDUCATION CORP,Consumer Discretionary,"Consumer, Non-cyclical",BBG000BDCQ25,True
PRDO,__chosen__,PRDO US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
PRFT,PRFT US Equity,PERFICIENT INC,Information Technology,Communications,BBG000BVXFK6,True
PRFT,__chosen__,PRFT US Equity,Information Technology,GICS_SECTOR_NAME,,True
PRGS,PRGS US Equity,PROGRESS SOFTWARE CORP,Information Technology,Technology,BBG000C4QP94,True
PRGS,__chosen__,PRGS US Equity,Information Technology,GICS_SECTOR_NAME,,True
QLYS,QLYS US Equity,QUALYS INC,Information Technology,Technology,BBG000HT5G06,True
QLYS,__chosen__,QLYS US Equity,Information Technology,GICS_SECTOR_NAME,,True
QRVO,QRVO US Equity,QORVO INC,Information Technology,Technology,BBG007TJF1N7,True
QRVO,__chosen__,QRVO US Equity,Information Technology,GICS_SECTOR_NAME,,True
RAMP,RAMP US Equity,LIVERAMP HOLDINGS INC,Information Technology,Technology,BBG000BB4HM6,True
RAMP,__chosen__,RAMP US Equity,Information Technology,GICS_SECTOR_NAME,,True
RGEN,RGEN US Equity,REPLIGEN CORP,Health Care,"Consumer, Non-cyclical",BBG000BS48J3,True
RGEN,__chosen__,RGEN US Equity,Health Care,GICS_SECTOR_NAME,,True
RHP,RHP US Equity,RYMAN HOSPITALITY PROPERTIES,Real Estate,Financial,BBG000BDVP80,True
RHP,__chosen__,RHP US Equity,Real Estate,GICS_SECTOR_NAME,,True
RLJ,RLJ US Equity,RLJ LODGING TRUST,Real Estate,Financial,BBG001HPC9F4,True
RLJ,__chosen__,RLJ US Equity,Real Estate,GICS_SECTOR_NAME,,True
ROCC,ROCC US Equity,RANGER OIL CORP-A,Energy,Energy,BBG00F7W51G3,True
